Year,Family Guy ,Simpsons,Rick and Morty,Futurama,Justice League,King of the Hill,South Park,The Batman,Archer,Bob's Burgers,Regular Show,Ben 10,SpongeBob SquarePants,Star Wars The Clone Wars,Teen Titans Go,American Dad
1999,12800000,8800000,0,19040000,0,8700000,2920000,0,0,0,0,0,2830000,0,0,0
2000,6320000,15500000,0,12840000,0,9500000,3610000,0,0,0,0,0,2540000,0,0,0
2001,4500000,12500000,0,8180000,4320000,7700000,2450000,0,0,0,0,0,2880000,0,0,0
2002,0,14400000,0,5730000,2820000,9500000,2800000,0,0,0,0,0,3650000,0,0,0
2003,0,11000000,0,5980000,2260000,6400000,2340000,0,0,0,0,0,4070000,0,0,0
2004,0,10200000,0,0,1020000,4800000,3140000,1210000,0,0,0,0,3470000,0,0,0
2005,7900000,9550000,0,0,0,5200000,2610000,2400000,0,0,0,0,2860000,0,0,9320000
2006,7200000,9150000,0,0,0,5500000,2950000,1800000,0,0,0,0,2990000,0,0,8230000
2007,7940000,8370000,0,0,0,6600000,3430000,1500000,0,0,0,0,3540000,0,0,7490000
2008,7560000,7100000,0,0,0,6000000,3130000,1700000,0,0,0,0,3930000,3990000,0,6280000
2009,7560000,7100000,0,0,0,0,2780000,0,910000,0,0,0,3640000,2640000,0,5720000
2010,7660000,7090000,0,2920000,0,0,3250000,0,1230000,0,2100000,0,4740000,2420000,0,5220000
2011,7300000,6150000,0,1790000,0,0,2640000,0,1310000,5070000,1870000,0,4550000,2210000,0,3930000
2012,6940000,5410000,0,1190000,0,0,2330000,0,1160000,4400000,2930000,0,3130000,1860000,0,4770000
2013,6110000,5020000,0,1230000,0,0,2170000,0,1470000,3450000,2440000,0,3700000,2020000,2010000,4150000
2014,5860000,5610000,2130000,0,0,0,2020000,0,950000,2440000,1960000,0,4040000,0,1850000,2790000
2015,4280000,4000000,2190000,0,0,0,1420000,0,920000,2240000,1860000,0,2090000,0,2120000,1100000
2016,3930000,4800000,0,0,0,0,1790000,0,790000,2180000,1250000,0,1960000,0,1500000,1050000
2017,3510000,4070000,2860000,0,0,0,1120000,0,440000,1970000,1330000,990000,2140000,0,1210000,930000
2018,3330000,3100000,0,0,0,0,840000,0,350000,1650000,0,750000,0,0,620000,870000
2019,1880000,2580000,0,0,0,0,800000,0,260000,2210000,0,560000,0,0,550000,770000
2020,1860000,2320000,2330000,0,0,0,1740000,0,330000,1440000,0,330000,0,0,440000,690000
2021,1560000,2250000,1300000,0,0,0,840000,0,210000,1210000,0,210000,0,0,290000,560000
2022,1570000,1830000,660000,0,0,0,530000,0,250000,1060000,0,0,0,0,190000,430000
2023,1060000,1990000,490000,1070000,0,0,470000,0,150000,710000,0,0,0,0,130000,360000
2024,790000,0,0,990000,0,0,210000,0,0,980000,0,0,0,0,90000,250000
